"cust","prod","month","prev_avg","during_avg","next_avg"
"Helen","Jelly",3,"540","551","446"
"Helen","Jelly",4,"551","446","489"
"Helen","Jelly",5,"446","489","467"
"Helen","Jelly",6,"489","467","524"
"Helen","Jelly",7,"467","524","495"
"Helen","Jelly",8,"524","495","693"
"Helen","Jelly",9,"495","693","522"
"Helen","Jelly",10,"693","522","535"
"Helen","Jelly",11,"522","535","317"
"Helen","Jelly",12,"535","317",NULL
"Mia","Apple",1,NULL,"480","481"
"Mia","Apple",2,"480","481","564"
"Mia","Apple",3,"481","564","470"
"Mia","Apple",4,"564","470","494"
"Mia","Apple",5,"470","494","557"
"Mia","Apple",6,"494","557","445"
"Mia","Apple",7,"557","445","539"
"Mia","Apple",8,"445","539","541"
"Mia","Apple",9,"539","541","386"
"Mia","Apple",10,"541","386","454"
"Mia","Apple",11,"386","454","407"
"Mia","Apple",12,"454","407",NULL
"Mia","Butter",1,NULL,"409","552"
"Mia","Butter",2,"409","552","560"
"Mia","Butter",3,"552","560","603"
"Mia","Butter",4,"560","603","312"
"Mia","Butter",5,"603","312","603"
"Mia","Butter",6,"312","603","547"
"Mia","Butter",7,"603","547","308"
"Mia","Butter",8,"547","308","504"
"Mia","Butter",9,"308","504","567"
"Mia","Butter",10,"504","567","496"
"Mia","Butter",11,"567","496","536"
"Mia","Butter",12,"496","536",NULL
"Mia","Cherry",1,NULL,"501","422"
"Mia","Cherry",2,"501","422","690"
"Mia","Cherry",3,"422","690","309"
"Mia","Cherry",4,"690","309","498"
"Mia","Cherry",5,"309","498","446"
"Mia","Cherry",6,"498","446","368"
"Mia","Cherry",7,"446","368","434"
"Mia","Cherry",8,"368","434","536"
"Mia","Cherry",9,"434","536","404"
"Mia","Cherry",10,"536","404","783"
"Mia","Cherry",11,"404","783","496"
"Mia","Cherry",12,"783","496",NULL
"Mia","Dates",1,NULL,"478","425"
"Mia","Dates",2,"478","425","422"
"Mia","Dates",3,"425","422","515"
"Mia","Dates",4,"422","515","416"
"Mia","Dates",5,"515","416","609"
"Mia","Dates",6,"416","609","461"
"Mia","Dates",7,"609","461","557"
"Mia","Dates",8,"461","557","782"
"Mia","Dates",9,"557","782","529"
"Mia","Dates",10,"782","529","466"
"Mia","Dates",11,"529","466","398"
"Mia","Dates",12,"466","398",NULL
"Mia","Eggs",1,NULL,"654","449"
"Mia","Eggs",2,"654","449","455"
"Mia","Eggs",3,"449","455","476"
"Mia","Eggs",4,"455","476","494"
"Mia","Eggs",5,"476","494","472"
"Mia","Eggs",6,"494","472","520"
"Mia","Eggs",7,"472","520","636"
"Mia","Eggs",8,"520","636","409"
"Mia","Eggs",9,"636","409","490"
"Mia","Eggs",10,"409","490","635"
"Mia","Eggs",11,"490","635","435"
"Mia","Eggs",12,"635","435",NULL
"Mia","Fish",1,NULL,"512","624"
"Mia","Fish",2,"512","624","527"
"Mia","Fish",3,"624","527","595"
"Mia","Fish",4,"527","595","509"
"Mia","Fish",5,"595","509","451"
"Mia","Fish",6,"509","451","523"
"Mia","Fish",7,"451","523","443"
"Mia","Fish",8,"523","443","498"
"Mia","Fish",9,"443","498","571"
"Mia","Fish",10,"498","571","354"
"Mia","Fish",11,"571","354","452"
"Mia","Fish",12,"354","452",NULL
"Mia","Grapes",1,NULL,"411","487"
"Mia","Grapes",2,"411","487","576"
"Mia","Grapes",3,"487","576","509"
"Mia","Grapes",4,"576","509","370"
"Mia","Grapes",5,"509","370","376"
"Mia","Grapes",6,"370","376","255"
"Mia","Grapes",7,"376","255","777"
"Mia","Grapes",8,"255","777","561"
"Mia","Grapes",9,"777","561","211"
"Mia","Grapes",10,"561","211","445"
"Mia","Grapes",11,"211","445","415"
"Mia","Grapes",12,"445","415",NULL
"Mia","Ham",1,NULL,"500","500"
"Mia","Ham",2,"500","500","616"
"Mia","Ham",3,"500","616","498"
"Mia","Ham",4,"616","498","461"
"Mia","Ham",5,"498","461","435"
"Mia","Ham",6,"461","435","579"
"Mia","Ham",7,"435","579","644"
"Mia","Ham",8,"579","644","359"
"Mia","Ham",9,"644","359","644"
"Mia","Ham",10,"359","644","514"
"Mia","Ham",11,"644","514","483"
"Mia","Ham",12,"514","483",NULL
"Mia","Ice",1,NULL,"532","576"
"Mia","Ice",2,"532","576","520"
"Mia","Ice",3,"576","520","586"
"Mia","Ice",4,"520","586","545"
"Mia","Ice",5,"586","545","458"
"Mia","Ice",6,"545","458","378"
"Mia","Ice",7,"458","378","374"
"Mia","Ice",8,"378","374","636"
"Mia","Ice",9,"374","636","620"
"Mia","Ice",10,"636","620","548"
"Mia","Ice",11,"620","548","659"
"Mia","Ice",12,"548","659",NULL
"Mia","Jelly",1,NULL,"550","459"
"Mia","Jelly",2,"550","459","478"
"Mia","Jelly",3,"459","478","624"
"Mia","Jelly",4,"478","624","550"
"Mia","Jelly",5,"624","550","687"
"Mia","Jelly",6,"550","687","485"
"Mia","Jelly",7,"687","485","584"
"Mia","Jelly",8,"485","584","451"
"Mia","Jelly",9,"584","451","423"
"Mia","Jelly",10,"451","423","609"
"Mia","Jelly",11,"423","609","549"
"Mia","Jelly",12,"609","549",NULL
"Sam","Apple",1,NULL,"454","530"
"Sam","Apple",2,"454","530","480"
"Sam","Apple",3,"530","480","502"
"Sam","Apple",4,"480","502","505"
"Sam","Apple",5,"502","505","487"
"Sam","Apple",6,"505","487","630"
"Sam","Apple",7,"487","630","444"
"Sam","Apple",8,"630","444","409"
"Sam","Apple",9,"444","409","518"
"Sam","Apple",10,"409","518","627"
"Sam","Apple",11,"518","627","532"
"Sam","Apple",12,"627","532",NULL
"Sam","Butter",1,NULL,"514","416"
"Sam","Butter",2,"514","416","445"
"Sam","Butter",3,"416","445","425"
"Sam","Butter",4,"445","425","626"
"Sam","Butter",5,"425","626","451"
"Sam","Butter",6,"626","451","735"
"Sam","Butter",7,"451","735","521"
"Sam","Butter",8,"735","521","466"
"Sam","Butter",9,"521","466","503"
"Sam","Butter",10,"466","503","601"
"Sam","Butter",11,"503","601","554"
"Sam","Butter",12,"601","554",NULL
"Sam","Cherry",1,NULL,"456","422"
"Sam","Cherry",2,"456","422","561"
"Sam","Cherry",3,"422","561","499"
"Sam","Cherry",4,"561","499","490"
"Sam","Cherry",5,"499","490","645"
"Sam","Cherry",6,"490","645","672"
"Sam","Cherry",7,"645","672","463"
"Sam","Cherry",8,"672","463","403"
"Sam","Cherry",9,"463","403","513"
"Sam","Cherry",10,"403","513","615"
"Sam","Cherry",11,"513","615","456"
"Sam","Cherry",12,"615","456",NULL
"Sam","Dates",1,NULL,"450","592"
"Sam","Dates",2,"450","592","561"
"Sam","Dates",3,"592","561","514"
"Sam","Dates",4,"561","514","387"
"Sam","Dates",5,"514","387","546"
"Sam","Dates",6,"387","546","590"
"Sam","Dates",7,"546","590","469"
"Sam","Dates",8,"590","469","442"
"Sam","Dates",9,"469","442","470"
"Sam","Dates",10,"442","470","633"
"Sam","Dates",11,"470","633","532"
"Sam","Dates",12,"633","532",NULL
"Sam","Eggs",1,NULL,"541","385"
"Sam","Eggs",2,"541","385","562"
"Sam","Eggs",3,"385","562","482"
"Sam","Eggs",4,"562","482","685"
"Sam","Eggs",5,"482","685","473"
"Sam","Eggs",6,"685","473","434"
"Sam","Eggs",7,"473","434","557"
"Sam","Eggs",8,"434","557","557"
"Sam","Eggs",9,"557","557","564"
"Sam","Eggs",10,"557","564","594"
"Sam","Eggs",11,"564","594","537"
"Sam","Eggs",12,"594","537",NULL
"Sam","Fish",1,NULL,"516","355"
"Sam","Fish",2,"516","355","382"
"Sam","Fish",3,"355","382","492"
"Sam","Fish",4,"382","492","545"
"Sam","Fish",5,"492","545","560"
"Sam","Fish",6,"545","560","344"
"Sam","Fish",7,"560","344","482"
"Sam","Fish",8,"344","482","450"
"Sam","Fish",9,"482","450","526"
"Sam","Fish",10,"450","526","506"
"Sam","Fish",11,"526","506","535"
"Sam","Fish",12,"506","535",NULL
"Sam","Grapes",1,NULL,"489","403"
"Sam","Grapes",2,"489","403","493"
"Sam","Grapes",3,"403","493","750"
"Sam","Grapes",4,"493","750","315"
"Sam","Grapes",5,"750","315","766"
"Sam","Grapes",6,"315","766","413"
"Sam","Grapes",7,"766","413","541"
"Sam","Grapes",8,"413","541","335"
"Sam","Grapes",9,"541","335","326"
"Sam","Grapes",10,"335","326","476"
"Sam","Grapes",11,"326","476","473"
"Sam","Grapes",12,"476","473",NULL
"Sam","Ham",1,NULL,"333","422"
"Sam","Ham",2,"333","422","550"
"Sam","Ham",3,"422","550","445"
"Sam","Ham",4,"550","445","563"
"Sam","Ham",5,"445","563","364"
"Sam","Ham",6,"563","364","486"
"Sam","Ham",7,"364","486","561"
"Sam","Ham",8,"486","561","681"
"Sam","Ham",9,"561","681","700"
"Sam","Ham",10,"681","700","454"
"Sam","Ham",11,"700","454","464"
"Sam","Ham",12,"454","464",NULL
"Sam","Ice",1,NULL,"592","551"
"Sam","Ice",2,"592","551","505"
"Sam","Ice",3,"551","505","506"
"Sam","Ice",4,"505","506","479"
"Sam","Ice",5,"506","479","378"
"Sam","Ice",6,"479","378","580"
"Sam","Ice",7,"378","580","478"
"Sam","Ice",8,"580","478","392"
"Sam","Ice",9,"478","392","402"
"Sam","Ice",10,"392","402","533"
"Sam","Ice",11,"402","533","708"
"Sam","Ice",12,"533","708",NULL
"Sam","Jelly",1,NULL,"442","532"
"Sam","Jelly",2,"442","532","538"
"Sam","Jelly",3,"532","538","693"
"Sam","Jelly",4,"538","693","558"
"Sam","Jelly",5,"693","558","534"
"Sam","Jelly",6,"558","534","511"
"Sam","Jelly",7,"534","511","659"
"Sam","Jelly",8,"511","659","506"
"Sam","Jelly",9,"659","506","594"
"Sam","Jelly",10,"506","594","484"
"Sam","Jelly",11,"594","484","543"
"Sam","Jelly",12,"484","543",NULL
"Wally","Apple",1,NULL,"693","248"
"Wally","Apple",2,"693","248","550"
"Wally","Apple",3,"248","550","475"
"Wally","Apple",4,"550","475","471"
"Wally","Apple",5,"475","471","510"
"Wally","Apple",6,"471","510","626"
"Wally","Apple",7,"510","626","533"
"Wally","Apple",8,"626","533","506"
"Wally","Apple",9,"533","506","524"
"Wally","Apple",10,"506","524","715"
"Wally","Apple",11,"524","715","504"
"Wally","Apple",12,"715","504",NULL
"Wally","Butter",1,NULL,"339","422"
"Wally","Butter",2,"339","422","526"
"Wally","Butter",3,"422","526","548"
"Wally","Butter",4,"526","548","534"
"Wally","Butter",5,"548","534","531"
"Wally","Butter",6,"534","531","767"
"Wally","Butter",7,"531","767","583"
"Wally","Butter",8,"767","583","409"
"Wally","Butter",9,"583","409","405"
"Wally","Butter",10,"409","405","386"
"Wally","Butter",11,"405","386","391"
"Wally","Butter",12,"386","391",NULL
"Wally","Cherry",1,NULL,"531","412"
"Wally","Cherry",2,"531","412","536"
"Wally","Cherry",3,"412","536","625"
"Wally","Cherry",4,"536","625","802"
"Wally","Cherry",5,"625","802","587"
"Wally","Cherry",6,"802","587","406"
"Wally","Cherry",7,"587","406","620"
"Wally","Cherry",8,"406","620","492"
"Wally","Cherry",9,"620","492","390"
"Wally","Cherry",10,"492","390","617"
"Wally","Cherry",11,"390","617","559"
"Wally","Cherry",12,"617","559",NULL
"Wally","Dates",1,NULL,"460","454"
"Wally","Dates",2,"460","454","576"
"Wally","Dates",3,"454","576","469"
"Wally","Dates",4,"576","469","687"
"Wally","Dates",5,"469","687","363"
"Wally","Dates",6,"687","363","549"
"Wally","Dates",7,"363","549","616"
"Wally","Dates",8,"549","616","445"
"Wally","Dates",9,"616","445","528"
"Wally","Dates",10,"445","528","595"
"Wally","Dates",11,"528","595","424"
"Wally","Dates",12,"595","424",NULL
"Wally","Eggs",1,NULL,"497","388"
"Wally","Eggs",2,"497","388","490"
"Wally","Eggs",3,"388","490","565"
"Wally","Eggs",4,"490","565","598"
"Wally","Eggs",5,"565","598","397"
"Wally","Eggs",6,"598","397","517"
"Wally","Eggs",7,"397","517","524"
"Wally","Eggs",8,"517","524","487"
"Wally","Eggs",9,"524","487","484"
"Wally","Eggs",10,"487","484","634"
"Wally","Eggs",11,"484","634","524"
"Wally","Eggs",12,"634","524",NULL
"Wally","Fish",1,NULL,"573","517"
"Wally","Fish",2,"573","517","536"
"Wally","Fish",3,"517","536","443"
"Wally","Fish",4,"536","443","488"
"Wally","Fish",5,"443","488","371"
"Wally","Fish",6,"488","371","516"
"Wally","Fish",7,"371","516","486"
"Wally","Fish",8,"516","486","571"
"Wally","Fish",9,"486","571","667"
"Wally","Fish",10,"571","667","592"
"Wally","Fish",11,"667","592","586"
"Wally","Fish",12,"592","586",NULL
"Wally","Grapes",1,NULL,"527","419"
"Wally","Grapes",2,"527","419","434"
"Wally","Grapes",3,"419","434","536"
"Wally","Grapes",4,"434","536","497"
"Wally","Grapes",5,"536","497","420"
"Wally","Grapes",6,"497","420","435"
"Wally","Grapes",7,"420","435","514"
"Wally","Grapes",8,"435","514","437"
"Wally","Grapes",9,"514","437","590"
"Wally","Grapes",10,"437","590","645"
"Wally","Grapes",11,"590","645","553"
"Wally","Grapes",12,"645","553",NULL
"Wally","Ham",1,NULL,"525","559"
"Wally","Ham",2,"525","559","515"
"Wally","Ham",3,"559","515","531"
"Wally","Ham",4,"515","531","584"
"Wally","Ham",5,"531","584","360"
"Wally","Ham",6,"584","360","659"
"Wally","Ham",7,"360","659","379"
"Wally","Ham",8,"659","379","618"
"Wally","Ham",9,"379","618","576"
"Wally","Ham",10,"618","576","503"
"Wally","Ham",11,"576","503","617"
"Wally","Ham",12,"503","617",NULL
"Wally","Ice",1,NULL,"651","615"
"Wally","Ice",2,"651","615","675"
"Wally","Ice",3,"615","675","702"
"Wally","Ice",4,"675","702","465"
"Wally","Ice",5,"702","465","295"
"Wally","Ice",6,"465","295","627"
"Wally","Ice",7,"295","627","495"
"Wally","Ice",8,"627","495","450"
"Wally","Ice",9,"495","450","686"
"Wally","Ice",10,"450","686","220"
"Wally","Ice",11,"686","220","471"
"Wally","Ice",12,"220","471",NULL
"Wally","Jelly",1,NULL,"361","677"
"Wally","Jelly",2,"361","677","520"
"Wally","Jelly",3,"677","520","537"
"Wally","Jelly",4,"520","537","506"
"Wally","Jelly",5,"537","506","545"
"Wally","Jelly",6,"506","545","704"
"Wally","Jelly",7,"545","704","397"
"Wally","Jelly",8,"704","397","591"
"Wally","Jelly",9,"397","591","592"
"Wally","Jelly",10,"591","592","614"
"Wally","Jelly",11,"592","614","646"
"Wally","Jelly",12,"614","646",NULL
